model,manipulation,auprc_mean,auprc_donor,auprc_acceptor,topk_global_mean,f1_donor_best,f1_acceptor_best,positional_donor_within_1bp,positional_acceptor_within_1bp
splicemamba,filtered_baseline,0.9706853228971256,0.9731474549299071,0.9682231908643442,0.9293677399235987,0.9321762245416519,0.9271216989264165,0.9702970297029703,0.9646059094098386
spliceai,filtered_baseline,0.9695234700095547,0.9721369274087516,0.9669100126103578,0.9233257971466438,0.9278609898966074,0.9196849146973837,0.9538401559454192,0.9458447132266875
splicemamba,nt_shuffle,0.4792189211575073,0.3500866323179188,0.6083512099970958,0.5004677633117642,0.41473738769868695,0.5975620299126827,0.3533728919425359,0.5012138773592294
spliceai,nt_shuffle,0.47098982376427145,0.3417154472380972,0.6002642002904457,0.48308256022452634,0.40033738790730716,0.5888785171356181,0.3040307402760351,0.41697947448286876
splicemamba,codon_shuffle,0.6846640838037981,0.5645649070354005,0.8047632605721957,0.6596632104155298,0.575298126064736,0.7563596675342121,0.5702363310194213,0.7396158650843223
spliceai,codon_shuffle,0.6072351832233536,0.4822101385997187,0.7322602278469885,0.5954626958758868,0.5143486885607229,0.6983488750106938,0.44521779932744193,0.5964540676237546
splicemamba,remove1,0.9684022891347233,0.9717884133022963,0.9650161649671504,0.926873002260856,0.9303472847578405,0.9243446868623449,0.9680361736961097,0.9629687378186638
spliceai,remove1,0.9676673424043518,0.9711724429708863,0.9641622418378172,0.9212208622437047,0.9260513466687668,0.917231806464406,0.952280701754386,0.9443533910871771
splicemamba,remove2,0.966484600402786,0.9701027916420438,0.9628664091635284,0.9239884618383098,0.9270837419101784,0.9214083621502673,0.9662430810010135,0.9614874873314103
spliceai,remove2,0.9661138871141217,0.9698509086582779,0.9623768655699656,0.9191549076167459,0.9240111991797785,0.9154644092047216,0.9491617933723197,0.9419430355052673
