metric,splicemamba,spliceai,delta
auprc_donor,0.959233870540919,0.9650004650138807,-0.005766594472961684
auprc_acceptor,0.9525456875375365,0.9587419550015356,-0.006196267463999039
auprc_mean,0.9558897790392278,0.9618712100077081,-0.005981430968480361
topk_global_donor,0.9241374483868711,0.921338092238785,0.0027993561480860185
topk_global_acceptor,0.9209181888165722,0.9130100076982294,0.007908181118342794
topk_global_mean,0.9225278186017216,0.9171740499685073,0.005353768633214351
f1_donor_best,0.9139570292674676,0.9213706105382516,-0.007413581270784064
f1_acceptor_best,0.9112594449903432,0.9134122006841505,-0.002152755693807351
positional_donor_mean_offset,48.51261918115536,155.02532977827673,-106.51271059712137
positional_donor_within_1bp,0.970344924284913,0.9485686219477968,0.02177630233711625
positional_donor_within_5bp,0.9718171620863713,0.9493404434465338,0.022476718639837467
positional_acceptor_mean_offset,92.64190089016611,192.2326840587863,-99.59078316862019
positional_acceptor_within_1bp,0.9642531716548679,0.9422684761971732,0.02198469545769466
positional_acceptor_within_5bp,0.9680381299502349,0.9456437662611631,0.022394363689071772
