metric,splicemamba,spliceai,delta
auprc_donor,0.949182785709523,0.9650004650138807,-0.015817679304357735
auprc_acceptor,0.9407453759295064,0.9587419550015356,-0.01799657907202923
auprc_mean,0.9449640808195147,0.9618712100077081,-0.01690712918819348
topk_global_donor,0.8987332913429911,0.921338092238785,-0.022604800895793975
topk_global_acceptor,0.8901252711876269,0.9130100076982294,-0.02288473651060252
topk_global_mean,0.894429281265309,0.9171740499685073,-0.022744768703198304
f1_donor_best,0.8989522537093031,0.9213706105382516,-0.02241835682894855
f1_acceptor_best,0.8899534916249956,0.9134122006841505,-0.023458709059154925
positional_donor_mean_offset,110.92586098057095,155.02532977827673,-44.09946879770578
positional_donor_within_1bp,0.9408010100301606,0.9485686219477968,-0.007767611917636197
positional_donor_within_5bp,0.9423441116644455,0.9493404434465338,-0.00699633178208825
positional_acceptor_mean_offset,142.72594670406733,192.2326840587863,-49.50673735471898
positional_acceptor_within_1bp,0.9323281907433381,0.9422684761971732,-0.009940285453835185
positional_acceptor_within_5bp,0.9359747545582048,0.9456437662611631,-0.009669011702958308
